symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,average_win,average_loss,compounding_annual_return,volatility,start_equity,end_equity,net_profit
ALGN,0.29,0.0,0.0,50.0,2,2.564,1286.7,501.84,0.0,0.0,100000.0,100285.995,285.99499999999534
ALKT,-1.37,0.0,0.0,66.67,3,0.6311,499.405,1582.56,0.0,0.0,100000.0,98626.69,-1373.3099999999977
AMZU,1.03,0.0,0.0,50.0,4,2.8135,743.78,264.365,0.0,0.0,100000.0,101031.2456,1031.2455999999947
AMZZ,0.21,0.0,0.0,50.0,4,1.3221,663.445,501.82,0.0,0.0,100000.0,100212.1516,212.15159999999742
AUR,-2.89,0.0,0.0,33.33,3,0.4583,1641.26,1790.43,0.0,0.0,100000.0,97111.3812,-2888.6187999999966
BCRX,-0.41,0.0,0.0,0.0,2,0.0,0.0,1013.87,0.0,0.0,100000.0,99589.84,-410.1600000000035
BE,-0.47,0.0,0.0,33.33,3,0.3525,482.22,684.09,0.0,0.0,100000.0,99531.29,-468.7100000000064
BJRI,-2.3,0.0,0.0,16.669999999999998,6,0.039,94.54,484.39,0.0,0.0,100000.0,97697.19,-2302.8099999999977
CONL,-3.33,0.0,0.0,0.0,2,0.0,0.0,1435.67,0.0,0.0,100000.0,96670.38,-3329.6199999999953
CRWV,0.86,0.0,0.0,100.0,1,10.0,661.5,0.0,0.0,0.0,100000.0,100864.0,864.0
EWY,0.07,0.0,0.0,0.0,1,0.0,0.0,59.18,0.0,0.0,100000.0,100072.105,72.10499999999593
FBL,1.6,0.0,0.0,50.0,2,3.1715,1501.0,473.28,0.0,0.0,100000.0,101603.445,1603.445000000007
FHI,-1.2,0.0,0.0,0.0,4,0.0,0.0,352.79,0.0,0.0,100000.0,98799.765,-1200.2350000000006
FIVN,-1.36,0.0,0.0,33.33,3,0.1736,261.66,753.66,0.0,0.0,100000.0,98640.64,-1359.3600000000006
FRPT,-3.27,0.0,0.0,20.0,5,0.0036,13.01,904.9825,0.0,0.0,100000.0,96731.1999,-3268.800099999993
FVRR,-1.69,0.0,0.0,20.0,5,0.177,169.56,239.455,0.0,0.0,100000.0,98313.6917,-1686.3083000000042
IDCC,0.47,0.0,0.0,100.0,1,10.0,1829.91,0.0,0.0,0.0,100000.0,100465.32,465.320000000007
