symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,average_win,average_loss,compounding_annual_return,volatility,start_equity,end_equity,net_profit
IDXX,-4.24,0.0,0.0,0.0,6,0.0,0.0,766.5033,0.0,0.0,100000.0,95755.0433,-4244.956699999995
INTW,-1.02,0.0,0.0,33.33,3,0.6626,518.8,391.485,0.0,0.0,100000.0,98984.01,-1015.9900000000052
LENZ,3.45,0.0,0.0,50.0,2,10.0,3131.14,0.0,0.0,0.0,100000.0,103446.885,3446.8849999999948
LOGI,0.75,0.0,0.0,100.0,1,10.0,339.9,0.0,0.0,0.0,100000.0,100749.585,749.5850000000064
METU,2.62,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,100000.0,102620.795,2620.7949999999983
MTZ,-0.08,0.0,0.0,0.0,2,0.0,0.0,229.19,0.0,0.0,100000.0,99919.32,-80.67999999999302
NATL,0.65,0.0,0.0,0.0,1,0.0,0.0,240.08,0.0,0.0,100000.0,100645.215,645.2149999999965
NET,-2.02,0.0,0.0,0.0,4,0.0,0.0,538.6325,0.0,0.0,100000.0,97980.61,-2019.3899999999994
PCOR,-0.97,0.0,0.0,33.33,3,0.0889,118.48,666.14,0.0,0.0,100000.0,99030.94,-969.0599999999977
PWP,0.9,0.0,0.0,100.0,1,10.0,21.54,0.0,0.0,0.0,100000.0,100904.04,904.0399999999936
RDTL,-4.75,0.0,0.0,25.0,4,0.6308,3978.94,2102.6,0.0,0.0,100000.0,95253.7,-4746.300000000003
SITC,-1.48,0.0,0.0,0.0,3,0.0,0.0,352.79,0.0,0.0,100000.0,98518.495,-1481.5050000000047
SIXG,0.62,0.0,0.0,0.0,2,0.0,0.0,141.52,0.0,0.0,100000.0,100621.9627,621.9627000000037
SOFX,0.89,0.0,0.0,33.33,3,0.2767,635.76,1148.7,0.0,0.0,100000.0,100886.8878,886.8877999999968
STRL,0.8,0.0,0.0,25.0,4,0.0527,73.71,466.43,0.0,0.0,100000.0,100798.76,798.7599999999948
SVIX,-0.28,0.0,0.0,100.0,1,10.0,566.2,0.0,0.0,0.0,100000.0,99717.46,-282.5399999999936
TECL,-0.94,0.0,0.0,33.33,3,0.2933,213.21,363.48,0.0,0.0,100000.0,99064.365,-935.6349999999948
TMDX,-0.71,0.0,0.0,66.67,3,0.5265,255.745,971.52,0.0,0.0,100000.0,99293.4674,-706.5326000000059
TQQQ,-0.32,0.0,0.0,33.33,3,0.3522,255.79,363.085,0.0,0.0,100000.0,99682.5541,-317.4459000000061
TTMI,-0.43,0.0,0.0,33.33,3,0.4008,182.67,227.91,0.0,0.0,100000.0,99568.0756,-431.9244000000035
USAR,4.1,0.0,0.0,0.0,1,0.0,0.0,285.0,0.0,0.0,100000.0,104102.7244,4102.724400000006
VFC,1.84,0.0,0.0,100.0,1,10.0,675.54,0.0,0.0,0.0,100000.0,101837.65,1837.6499999999942
AGX,0.46,0.0,0.0,50.0,2,1.5271,1856.1,1215.48,0.0,0.0,100000.0,100463.164,463.1640000000043
APPX,-2.41,0.0,0.0,20.0,5,0.1935,686.8,887.385,0.0,0.0,100000.0,97586.17,-2413.8300000000017
AU,1.34,0.0,0.0,50.0,2,2.7675,1188.2,429.34,0.0,0.0,100000.0,101338.045,1338.0449999999983
VSAT,3.15,0.0,0.0,50.0,2,12.5402,1666.09,132.86,0.0,0.0,100000.0,103152.251,3152.251000000004
WEAV,-3.63,0.0,0.0,20.0,5,0.1131,395.49,874.1825,0.0,0.0,100000.0,96366.595,-3633.404999999999
