symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,average_win,average_loss,compounding_annual_return,volatility,start_equity,end_equity,net_profit
AAPU,2.26,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,100000.0,102263.04,2263.0399999999936
AGX,0.46,0.0,0.0,50.0,2,1.5271,1856.1,1215.48,0.0,0.0,100000.0,100463.164,463.1640000000043
ALGN,1.26,0.0,0.0,100.0,1,10.0,1286.7,0.0,0.0,0.0,100000.0,101255.52,1255.520000000004
ALKT,2.29,0.0,0.0,50.0,2,1.837,2975.28,1619.64,0.0,0.0,100000.0,102288.76,2288.7599999999948
AMZU,0.66,0.0,0.0,66.67,3,5129.5172,743.78,0.29,0.0,0.0,100000.0,100659.7056,659.7056000000011
AMZZ,0.54,0.0,0.0,66.67,3,5.5955,849.56,303.66,0.0,0.0,100000.0,100535.19,535.1900000000023
APLD,1.89,0.0,0.0,25.0,4,1.2075,5223.8,1441.99,0.0,0.0,100000.0,101890.7724,1890.7724000000017
APPX,-2.41,0.0,0.0,20.0,5,0.1935,686.8,887.385,0.0,0.0,100000.0,97586.17,-2413.8300000000017
AU,-1.06,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,100000.0,98944.075,-1055.925000000003
AUR,0.04,0.0,0.0,0.0,1,0.0,0.0,1784.8,0.0,0.0,100000.0,100043.1006,43.100600000005215
BCRX,-0.07,0.0,0.0,0.0,1,0.0,0.0,1808.32,0.0,0.0,100000.0,99927.92,-72.08000000000175
BE,-1.45,0.0,0.0,66.67,3,1.0793,1414.11,2620.35,0.0,0.0,100000.0,98550.0864,-1449.9135999999999
BJRI,-1.71,0.0,0.0,20.0,5,0.0511,95.13,465.65,0.0,0.0,100000.0,98285.245,-1714.7550000000047
CONL,-5.65,0.0,0.0,0.0,3,0.0,0.0,1724.33,0.0,0.0,100000.0,94353.4571,-5646.5429
CRWV,-1.15,0.0,0.0,0.0,1,0.0,0.0,1573.8,0.0,0.0,100000.0,98851.19,-1148.8099999999977
EWY,0.07,0.0,0.0,0.0,1,0.0,0.0,59.18,0.0,0.0,100000.0,100072.105,72.10499999999593
FBL,0.12,0.0,0.0,0.0,1,0.0,0.0,466.32,0.0,0.0,100000.0,100120.31,120.30999999999767
FHI,-0.89,0.0,0.0,0.0,3,0.0,0.0,372.0333,0.0,0.0,100000.0,99114.245,-885.7550000000047
FIVN,-0.79,0.0,0.0,0.0,1,0.0,0.0,978.69,0.0,0.0,100000.0,99208.53,-791.4700000000012
FRPT,-3.3,0.0,0.0,33.33,3,0.0056,13.12,1173.015,0.0,0.0,100000.0,96702.5578,-3297.442200000005
FVRR,-0.32,0.0,0.0,0.0,4,0.0,0.0,239.455,0.0,0.0,100000.0,99681.7529,-318.2470999999932
GLOB,0.95,0.0,0.0,33.33,3,3.5161,1152.36,163.87,0.0,0.0,100000.0,100946.7902,946.7902000000031
IDCC,-1.34,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,100000.0,98657.88,-1342.1199999999953
IDXX,-3.51,0.0,0.0,0.0,5,0.0,0.0,772.462,0.0,0.0,100000.0,96493.7532,-3506.2467999999935
INTW,-0.63,0.0,0.0,50.0,2,1.1316,520.88,460.32,0.0,0.0,100000.0,99370.9,-629.1000000000058
LENZ,2.85,0.0,0.0,50.0,2,1.0738,2799.94,2607.43,0.0,0.0,100000.0,102849.2722,2849.2722000000067
LOGI,0.75,0.0,0.0,100.0,1,10.0,339.9,0.0,0.0,0.0,100000.0,100749.585,749.5850000000064
METU,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0
MTZ,0.33,0.0,0.0,0.0,1,0.0,0.0,56.18,0.0,0.0,100000.0,100329.025,329.0249999999942
NATL,1.1,0.0,0.0,100.0,1,10.0,211.05,0.0,0.0,0.0,100000.0,101100.17,1100.1699999999983
NET,-2.03,0.0,0.0,25.0,4,0.179,307.72,572.9067,0.0,0.0,100000.0,97972.2244,-2027.7755999999936
PCOR,-2.23,0.0,0.0,33.33,3,0.0453,116.96,1292.34,0.0,0.0,100000.0,97774.09,-2225.9100000000035
PWP,0.93,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,100000.0,100925.79,925.7899999999936
RDTL,6.07,0.0,0.0,66.67,3,15.3694,3965.3,516.0,0.0,0.0,100000.0,106065.252,6065.251999999993
SITC,-1.36,0.0,0.0,0.0,2,0.0,0.0,508.51,0.0,0.0,100000.0,98644.6,-1355.3999999999942
SIXG,0.79,0.0,0.0,0.0,1,0.0,0.0,131.21,0.0,0.0,100000.0,100792.6952,792.6952000000019
SOFX,-0.06,0.0,0.0,33.33,3,0.1962,629.64,1604.82,0.0,0.0,100000.0,99943.9741,-56.02589999999327
STRL,2.41,0.0,0.0,50.0,4,1.3453,484.09,359.85,0.0,0.0,100000.0,102409.03,2409.029999999999
SVIX,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0
TECL,-0.48,0.0,0.0,50.0,2,0.7618,214.13,281.1,0.0,0.0,100000.0,99518.675,-481.3249999999971
TMDX,0.82,0.0,0.0,100.0,2,10.0,799.465,0.0,0.0,0.0,100000.0,100821.5098,821.5097999999998
TQQQ,-0.32,0.0,0.0,33.33,3,0.3522,255.79,363.085,0.0,0.0,100000.0,99682.5541,-317.4459000000061
